Country,Clicks,Impressions,CTR,Position
Japan,130,3014,4.31%,20.07
United States,4,154,2.6%,8.58
Myanmar (Burma),4,4,100%,1
Afghanistan,2,2,100%,1
Vietnam,1,15,6.67%,42.87
Singapore,1,4,25%,1.25
Malaysia,1,2,50%,1
United Kingdom,0,10,0%,15.6
India,0,9,0%,6.56
Brazil,0,9,0%,8.78
Canada,0,6,0%,4.67
Mexico,0,6,0%,8.17
Indonesia,0,4,0%,6
Italy,0,4,0%,26.75
Egypt,0,3,0%,1
South Korea,0,3,0%,4.33
Spain,0,3,0%,5.67
France,0,3,0%,5.67
Turkey,0,3,0%,6
Taiwan,0,3,0%,7.67
Germany,0,3,0%,10.33
China,0,2,0%,5.5
Philippines,0,2,0%,5.5
United Arab Emirates,0,2,0%,6
Finland,0,2,0%,6.5
Australia,0,2,0%,7.5
Venezuela,0,2,0%,10.5
Ireland,0,2,0%,14
Argentina,0,2,0%,35
Belgium,0,1,0%,1
Denmark,0,1,0%,1
Ethiopia,0,1,0%,1
Kenya,0,1,0%,1
Sweden,0,1,0%,1
Kazakhstan,0,1,0%,5
Morocco,0,1,0%,6
Barbados,0,1,0%,7
Moldova,0,1,0%,8
Tanzania,0,1,0%,8
Czechia,0,1,0%,9
Croatia,0,1,0%,9
Bangladesh,0,1,0%,10
Pakistan,0,1,0%,10
Panama,0,1,0%,10
Jordan,0,1,0%,11
Belarus,0,1,0%,12
Thailand,0,1,0%,21
Yemen,0,1,0%,28